CityCode;CountryCode;UtcOffset;TimeZoneId;CityName
ACL;CO;-05:00;America/Bogota;Aguaclara
ACM;CO;-05:00;America/Bogota;Arica
ACN;MX;-06:00;America/Matamoros;Ciudad Acuna
ACO;CH;+01:00;Europe/Zurich;Ascona
ACP;IR;+03:30;Asia/Tehran;Maragheh
ACQ;ES;+01:00;Europe/Madrid;Estacion De Alicante
ACR;CO;-05:00;America/Bogota;Araracuara
ACS;RU;+07:00;Asia/Tomsk;Achinsk
ACT;US;-06:00;America/Chicago;Waco
ACU;PA;-05:00;America/Panama;Achutupo
ACV;US;-08:00;America/Los_Angeles;Arcata/Eureka
ACX;CN;+08:00;Asia/Shanghai;Xingyi
ACY;US;-05:00;America/New_York;Atlantic City
ACZ;IR;+03:30;Asia/Tehran;Zabol
ADA;TR;+03:00;Europe/Istanbul;Adana
ADC;PG;+10:00;Pacific/Port_Moresby;Andakombe
ADD;ET;+03:00;Africa/Addis_Ababa;Addis Ababa
ADE;YE;+03:00;Asia/Aden;Aden
ADF;TR;+03:00;Europe/Istanbul;Adiyaman
ADG;US;-05:00;America/New_York;Adrian
ADH;RU;+09:00;Asia/Yakutsk;Aldan
ADI;NA;+02:00;Africa/Windhoek;Arandis
ADK;US;-10:00;America/Adak;Adak Island
ADL;AU;+09:30;Australia/Adelaide;Adelaide
ADM;US;-06:00;America/Chicago;Ardmore
ADN;CO;-05:00;America/Bogota;Andes
ADO;AU;+09:30;Australia/Adelaide;Andamooka
ADP;LK;+05:30;Asia/Colombo;Ampara
ADQ;US;-09:00;America/Anchorage;Kodiak
ADR;US;-05:00;America/New_York;Andrews
ADT;US;-06:00;America/Chicago;Ada
ADU;IR;+03:30;Asia/Tehran;Ardabil
ADV;SD;+02:00;Africa/Khartoum;Addeain
ADW;US;-05:00;America/New_York;Camp Springs
ADX;GB;+00:00;Europe/London;St Andrews
ADY;ZA;+02:00;Africa/Johannesburg;Alldays
ADZ;CO;-05:00;America/Bogota;San Andres Island
AEA;KI;+12:00;Pacific/Tarawa;Abemama
AEB;CN;+08:00;Asia/Shanghai;Baise
AED;US;-09:00;America/Anchorage;Aleneva
AEE;SS;+02:00;Africa/Juba;Adareil
AEG;ID;+07:00;Asia/Pontianak;Aek Godang
AEH;TD;+01:00;Africa/Ndjamena;Abeche
AEI;ES;+01:00;Europe/Madrid;Algeciras
AEJ;KW;+03:00;Asia/Kuwait;Ahmed Al Jaber
AEK;PG;+10:00;Pacific/Port_Moresby;Aseki
AEL;US;-06:00;America/Chicago;Albert Lea
AEM;RU;+10:00;Asia/Vladivostok;Amgu
AEO;MR;+00:00;Africa/Nouakchott;Aioun El Atrouss
AEQ;CN;+08:00;Asia/Shanghai;Chifeng
AER;RU;+03:00;Europe/Moscow;Sochi
AES;NO;+01:00;Europe/Oslo;Alesund
AET;US;-09:00;America/Anchorage;Allakaket
AEU;IR;+03:30;Asia/Tehran;Abu Musa Island
AEX;US;-06:00;America/Chicago;Alexandria
AEY;IS;+00:00;Atlantic/Reykjavik;Akureyri
AFA;AR;-03:00;America/Argentina/Buenos_Aires;San Rafael
AFD;ZA;+02:00;Africa/Johannesburg;Port Alfred
AFI;CO;-05:00;America/Bogota;Amalfi
AFL;BR;-04:00;America/Porto_Velho;Alta Floresta
AFN;US;-05:00;America/New_York;Jaffrey
AFO;US;-07:00;America/Denver;Afton
AFR;PG;+10:00;Pacific/Port_Moresby;Afore
AFS;UZ;+05:00;Asia/Tashkent;Zarafshan
AFT;SB;+11:00;Pacific/Guadalcanal;Afutara
AFU;QA;+03:00;Asia/Qatar;Al Udeid
AFY;TR;+03:00;Europe/Istanbul;Afyon
AFZ;IR;+03:30;Asia/Tehran;Sabzevar
AGA;MA;+01:00;Africa/Casablanca;Agadir
AGD;ID;+09:00;Asia/Jayapura;Anggi
AGE;DE;+01:00;Europe/Berlin;Wangerooge
AGF;FR;+01:00;Europe/Paris;Agen
AGG;PG;+10:00;Pacific/Port_Moresby;Angoram
AGH;SE;+01:00;Europe/Stockholm;Angelholm/Helsingborg
AGI;SR;-03:00;America/Paramaribo;Wageningen
AGJ;JP;+09:00;Asia/Tokyo;Aguni
AGK;PG;+10:00;Pacific/Port_Moresby;Kagua
AGL;PG;+10:00;Pacific/Port_Moresby;Wanigela
AGM;GL;-03:00;America/Godthab;Tasiilaq
AGN;US;-09:00;America/Anchorage;Angoon
AGO;US;-06:00;America/Chicago;Magnolia
AGP;ES;+01:00;Europe/Madrid;Malaga
AGQ;GR;+02:00;Europe/Athens;Agrinion
AGR;IN;+05:30;Asia/Kolkata;Agra
AGS;US;-05:00;America/New_York;Augusta
AGT;PY;-04:00;America/Asuncion;Ciudad Del Este
AGU;MX;-06:00;America/Mexico_City;Aguascalientes
AGV;VE;-04:00;America/Caracas;Acarigua
AGW;AU;+10:00;Australia/Brisbane;Agnew
AGX;IN;+05:30;Asia/Kolkata;Agatti Island
AGZ;ZA;+02:00;Africa/Johannesburg;Aggeneys
AHB;SA;+03:00;Asia/Riyadh;Abha
AHC;US;-08:00;America/Los_Angeles;Herlong
AHE;PF;-10:00;Pacific/Tahiti;Ahe
AHF;US;-06:00;America/Chicago;Arapahoe
AHH;US;-06:00;America/Chicago;Amery
AHI;ID;+09:00;Asia/Jayapura;Amahai
AHJ;CN;+08:00;Asia/Shanghai;Aba Hongyuan
AHL;GY;-04:00;America/Guyana;Aishalton
AHM;US;-08:00;America/Los_Angeles;Ashland
AHN;US;-05:00;America/New_York;Athens
AHO;IT;+01:00;Europe/Rome;Alghero
AHS;HN;-06:00;America/Tegucigalpa;Ahuas
AHT;US;-10:00;America/Adak;Amchitka
AHU;MA;+01:00;Africa/Casablanca;Al Hoceima
AHW;OM;+04:00;Asia/Muscat;Saih Rawl
AHY;MG;+03:00;Indian/Antananarivo;Ambatolahy
AHZ;FR;+01:00;Europe/Paris;L'alpe-D'huez
AIA;US;-07:00;America/Denver;Alliance
AIB;US;-09:00;America/Anchorage;Anita Bay
AIC;MH;+12:00;Pacific/Majuro;Airok
AID;US;-05:00;America/New_York;Anderson
AIE;PG;+10:00;Pacific/Port_Moresby;Aiome
AIF;BR;-03:00;America/Araguaina;Assis
AIG;CF;+01:00;Africa/Bangui;Yalinga
AIH;PG;+10:00;Pacific/Port_Moresby;Aiambak
AII;DJ;+03:00;Africa/Djibouti;Ali Sabieh
AIK;US;-05:00;America/New_York;Aiken
AIL;PA;-05:00;America/Panama;Ailigandi
AIM;MH;+12:00;Pacific/Majuro;Ailuk Island
AIN;US;-09:00;America/Anchorage;Wainwright
AIO;US;-06:00;America/Chicago;Atlantic
AIP;IN;+05:30;Asia/Kolkata;Adampur
AIR;BR;-04:00;America/Porto_Velho;Aripuana
AIS;KI;+12:00;Pacific/Tarawa;Arorae
AIT;CK;-10:00;Pacific/Rarotonga;Aitutaki Island
AIU;CK;-10:00;Pacific/Rarotonga;Atiu Island
AIV;US;-06:00;America/Chicago;Aliceville
AIW;NA;+02:00;Africa/Windhoek;Ai-Ais
AIY;US;-05:00;America/New_York;Atlantic City
AIZ;US;-06:00;America/Chicago;Kaiser/Lake Of The Ozarks
AJA;FR;+01:00;Europe/Paris;Ajaccio
AJF;SA;+03:00;Asia/Riyadh;Jouf
AJI;TR;+03:00;Europe/Istanbul;Agri
AJJ;MR;+00:00;Africa/Nouakchott;Akjoujt
AJK;IR;+03:30;Asia/Tehran;Araak
AJL;IN;+05:30;Asia/Kolkata;Aizawl
AJN;KM;+03:00;Indian/Comoro;Anjouan
AJO;YE;+03:00;Asia/Aden;Aljouf
AJR;SE;+01:00;Europe/Stockholm;Arvidsjaur
AJS;MX;-07:00;America/Mazatlan;Punta Abreojos
AJU;BR;-03:00;America/Araguaina;Aracaju
AJY;NE;+01:00;Africa/Niamey;Agadez
AKA;CN;+08:00;Asia/Shanghai;Ankang
AKB;US;-10:00;America/Adak;Atka
AKD;IN;+05:30;Asia/Kolkata;Akola
AKE;GA;+01:00;Africa/Libreville;Akieni
AKF;LY;+02:00;Africa/Tripoli;Kufra
AKG;PG;+10:00;Pacific/Port_Moresby;Anguganak
AKH;SA;+03:00;Asia/Riyadh;Al Kharj
AKI;US;-09:00;America/Anchorage;Akiak
AKJ;JP;+09:00;Asia/Tokyo;Asahikawa
AKK;US;-09:00;America/Anchorage;Akhiok
AKL;NZ;+12:00;Pacific/Auckland;Auckland
AKM;TD;+01:00;Africa/Ndjamena;Zakouma
AKN;US;-09:00;America/Anchorage;King Salmon
AKO;US;-07:00;America/Denver;Akron
AKP;US;-09:00;America/Anchorage;Anaktuvuk Pass
AKQ;ID;+07:00;Asia/Pontianak;Menggala
AKR;NG;+01:00;Africa/Lagos;Akure
AKS;SB;+11:00;Pacific/Guadalcanal;Auki
AKT;CY;+02:00;Asia/Nicosia;Akrotiri
AKU;CN;+08:00;Asia/Shanghai;Aksu
AKV;CA;-05:00;America/Toronto;Akulivik
AKW;IR;+03:30;Asia/Tehran;Aghajari
AKX;KZ;+05:00;Asia/Qyzylorda;Aktobe
AKY;MM;+06:30;Asia/Yangon;Sittwe
ALA;KZ;+06:00;Asia/Almaty;Almaty
ALB;US;-05:00;America/New_York;Albany
ALC;ES;+01:00;Europe/Madrid;Alicante
ALD;PE;-05:00;America/Lima;Alerta
ALE;US;-06:00;America/Chicago;Alpine
ALF;NO;+01:00;Europe/Oslo;Alta
ALG;DZ;+01:00;Africa/Algiers;Algiers
ALH;AU;+08:00;Australia/Perth;Albany
ALI;US;-06:00;America/Chicago;Alice
ALJ;ZA;+02:00;Africa/Johannesburg;Alexander Bay
ALK;ET;+03:00;Africa/Addis_Ababa;Asela
ALL;IT;+01:00;Europe/Rome;Albenga
ALM;US;-07:00;America/Denver;Alamogordo
ALN;US;-06:00;America/Chicago;Alton
ALO;US;-06:00;America/Chicago;Waterloo
ALP;SY;+03:00;Asia/Damascus;Aleppo
ALQ;BR;-03:00;America/Araguaina;Alegrete
ALR;NZ;+12:00;Pacific/Auckland;Alexandra
ALS;US;-07:00;America/Denver;Alamosa
ALT;BR;-03:00;America/Araguaina;Alenquer
ALU;SO;+03:00;Africa/Mogadishu;Alula
ALV;AD;+01:00;Europe/Andorra;Andorra La Vella
ALW;US;-08:00;America/Los_Angeles;Walla Walla
ALX;US;-06:00;America/Chicago;Alexander City
ALY;EG;+02:00;Africa/Cairo;Alexandria
ALZ;US;-09:00;America/Anchorage;Alitak
AMA;US;-06:00;America/Chicago;Amarillo
AMB;MG;+03:00;Indian/Antananarivo;Ambilobe
AMC;TD;+01:00;Africa/Ndjamena;Am Timan
AMD;IN;+05:30;Asia/Kolkata;Ahmedabad
AME;MZ;+02:00;Africa/Maputo;Alto Molocue
AMF;PG;+10:00;Pacific/Port_Moresby;Ama
AMG;PG;+10:00;Pacific/Port_Moresby;Amboin
AMH;ET;+03:00;Africa/Addis_Ababa;Arba Minch
AMI;ID;+08:00;Asia/Makassar;Mataram
AMJ;BR;-03:00;America/Araguaina;Almenara
AML;PA;-05:00;America/Panama;Puerto Armuelles
AMM;JO;+03:00;Asia/Amman;Amman
AMN;US;-05:00;America/New_York;Alma
AMO;TD;+01:00;Africa/Ndjamena;Mao
AMP;MG;+03:00;Indian/Antananarivo;Ampanihy
AMQ;ID;+09:00;Asia/Jayapura;Ambon
AMS;NL;+01:00;Europe/Amsterdam;Amsterdam
AMT;AU;+09:30;Australia/Darwin;Amata
AMU;PG;+10:00;Pacific/Port_Moresby;Amanab
AMV;RU;+03:00;Europe/Moscow;Amderma
AMW;US;-06:00;America/Chicago;Ames
AMX;AU;+09:30;Australia/Darwin;Ammaroo
AMY;MG;+03:00;Indian/Antananarivo;Ambatomainty
AMZ;NZ;+12:00;Pacific/Auckland;Ardmore
ANA;KE;+03:00;Africa/Nairobi;Masai Mara
ANB;US;-06:00;America/Chicago;Anniston
ANC;US;-09:00;America/Anchorage;Anchorage
AND;US;-05:00;America/New_York;Anderson
ANE;FR;+01:00;Europe/Paris;Angers
ANF;CL;-04:00;America/Santiago;Antofagasta
ANG;FR;+01:00;Europe/Paris;Angouleme
ANH;SB;+11:00;Pacific/Guadalcanal;Anuha Island Resort
ANI;US;-09:00;America/Anchorage;Aniak
ANJ;CG;+01:00;Africa/Brazzaville;Zanaga
ANK;TR;+03:00;Europe/Istanbul;Ankara
ANL;AO;+01:00;Africa/Luanda;Andulo
ANM;MG;+03:00;Indian/Antananarivo;Antalaha
ANN;US;-09:00;America/Anchorage;Annette Island
ANO;MZ;+02:00;Africa/Maputo;Angoche
ANP;US;-05:00;America/New_York;Annapolis
ANQ;US;-05:00;America/New_York;Angola
ANR;BE;+01:00;Europe/Brussels;Antwerp
ANS;PE;-05:00;America/Lima;Andahuaylas
ANT;AT;+01:00;Europe/Vienna;St Anton
ANU;AG;-04:00;America/Antigua;Antigua
ANV;US;-09:00;America/Anchorage;Anvik
ANW;US;-06:00;America/Chicago;Ainsworth
ANX;NO;+01:00;Europe/Oslo;Andenes
ANY;US;-06:00;America/Chicago;Anthony
ANZ;AU;+09:30;Australia/Darwin;Angus Downs Station
AOA;PG;+10:00;Pacific/Port_Moresby;Aroa
AOB;PG;+10:00;Pacific/Port_Moresby;Annanberg
AOC;DE;+01:00;Europe/Berlin;Altenburg
AOD;TD;+01:00;Africa/Ndjamena;Abou Deia
AOG;CN;+08:00;Asia/Shanghai;Anshan
AOH;US;-05:00;America/New_York;Lima
AOI;IT;+01:00;Europe/Rome;Ancona
AOJ;JP;+09:00;Asia/Tokyo;Aomori
AOK;GR;+02:00;Europe/Athens;Karpathos
AOL;AR;-03:00;America/Argentina/Buenos_Aires;Paso De Los Libres
AOM;OM;+04:00;Asia/Muscat;Adam
AON;PG;+10:00;Pacific/Port_Moresby;Arona
AOO;US;-05:00;America/New_York;Altoona
AOP;PE;-05:00;America/Lima;Andoas
AOQ;GL;-03:00;America/Godthab;Aappilattoq
AOR;MY;+08:00;Asia/Kuching;Alor Setar
AOS;US;-09:00;America/Anchorage;Amook Bay
AOT;IT;+01:00;Europe/Rome;Aosta
AOU;LA;+07:00;Asia/Vientiane;Attapeu
APB;BO;-04:00;America/La_Paz;Apolo
APC;US;-08:00;America/Los_Angeles;Napa
APE;PE;-05:00;America/Lima;San Juan Aposento
APF;US;-05:00;America/New_York;Naples
APG;US;-05:00;America/New_York;Aberdeen
APH;US;-05:00;America/New_York;Bowling Green
API;CO;-05:00;America/Bogota;Apiay
APK;PF;-10:00;Pacific/Tahiti;Apataki
APL;MZ;+02:00;Africa/Maputo;Nampula
APN;US;-05:00;America/New_York;Alpena
APO;CO;-05:00;America/Bogota;Apartado
APP;PG;+10:00;Pacific/Port_Moresby;Asapa
APQ;BR;-03:00;America/Araguaina;Arapiraca
APR;PG;+10:00;Pacific/Port_Moresby;April River
APS;BR;-03:00;America/Araguaina;Anapolis
APT;US;-06:00;America/Chicago;Jasper
APU;BR;-03:00;America/Araguaina;Apucarana
APV;US;-08:00;America/Los_Angeles;Apple Valley
APW;WS;+13:00;Pacific/Apia;Apia
APX;BR;-03:00;America/Araguaina;Arapongas
APY;BR;-03:00;America/Araguaina;Alto Parnaiba
APZ;AR;-03:00;America/Argentina/Buenos_Aires;Zapala
AQA;BR;-03:00;America/Araguaina;Araraquara
AQB;GT;-06:00;America/Guatemala;Quiche
AQG;CN;+08:00;Asia/Shanghai;Anqing
AQI;SA;+03:00;Asia/Riyadh;Qaisumah
AQJ;JO;+03:00;Asia/Amman;Aqaba
AQM;BR;-04:00;America/Porto_Velho;Ariquemes
AQP;PE;-05:00;America/Lima;Arequipa
AQS;FJ;+12:00;Pacific/Fiji;Saqani
AQY;US;-09:00;America/Anchorage;Girdwood
ARA;US;-06:00;America/Chicago;New Iberia
ARB;US;-05:00;America/New_York;Ann Arbor
ARC;US;-09:00;America/Anchorage;Arctic Village
ARD;ID;+08:00;Asia/Makassar;Alor
ARE;PR;-04:00;America/Puerto_Rico;Arecibo
ARF;CO;-05:00;America/Bogota;Acaricuara
ARG;US;-06:00;America/Chicago;Walnut Ridge
ARH;RU;+03:00;Europe/Moscow;Arkhangelsk
ARI;CL;-04:00;America/Santiago;Arica
ARJ;ID;+09:00;Asia/Jayapura;Arso
ARK;TZ;+03:00;Africa/Dar_es_Salaam;Arusha
ARL;BF;+00:00;Africa/Ouagadougou;Arly
ARM;AU;+10:00;Australia/Sydney;Armidale
ARO;CO;-05:00;America/Bogota;Arboletes
ARP;PG;+10:00;Pacific/Port_Moresby;Aragip
ARQ;CO;-05:00;America/Bogota;Arauquita
ARR;AR;-03:00;America/Argentina/Buenos_Aires;Alto Rio Senguer
ARS;BR;-03:00;America/Araguaina;Aragarcas
ART;US;-05:00;America/New_York;Watertown
ARU;BR;-03:00;America/Araguaina;Aracatuba
ARV;US;-06:00;America/Chicago;Minocqua/Woodruff
ARW;RO;+02:00;Europe/Bucharest;Arad
ARX;BR;-03:00;America/Araguaina;Aracati
ARY;AU;+10:00;Australia/Sydney;Ararat
ARZ;AO;+01:00;Africa/Luanda;N'zeto
ASA;ER;+03:00;Africa/Asmara;Assab
ASB;TM;+05:00;Asia/Ashgabat;Ashgabat
ASC;BO;-04:00;America/La_Paz;Ascension
ASD;BS;-05:00;America/Nassau;Andros Town
ASE;US;-07:00;America/Denver;Aspen
ASF;RU;+04:00;Europe/Volgograd;Astrakhan
ASG;NZ;+12:00;Pacific/Auckland;Ashburton
ASH;US;-05:00;America/New_York;Nashua
ASI;SH;+00:00;Atlantic/St_Helena;Ascension Island
ASJ;JP;+09:00;Asia/Tokyo;Amami
ASK;CI;+00:00;Africa/Abidjan;Yamoussoukro
ASL;US;-06:00;America/Chicago;Marshall
ASM;ER;+03:00;Africa/Asmara;Asmara
ASN;US;-06:00;America/Chicago;Talladega
ASO;ET;+03:00;Africa/Addis_Ababa;Asosa
ASP;AU;+09:30;Australia/Darwin;Alice Springs
ASQ;US;-08:00;America/Los_Angeles;Austin
ASR;TR;+03:00;Europe/Istanbul;Kayseri
ASS;ZA;+02:00;Africa/Johannesburg;Arathusa Safari Lodge
AST;US;-08:00;America/Los_Angeles;Astoria
ASU;PY;-04:00;America/Asuncion;Asuncion
ASV;KE;+03:00;Africa/Nairobi;Amboseli
ASW;EG;+02:00;Africa/Cairo;Aswan
ASX;US;-06:00;America/Chicago;Ashland
ASY;US;-06:00;America/Chicago;Ashley
ASZ;PG;+10:00;Pacific/Port_Moresby;Asirim
ATA;PE;-05:00;America/Lima;Huaraz
ATB;SD;+02:00;Africa/Khartoum;Atbara
ATC;BS;-05:00;America/Nassau;Arthur's Town
ATD;SB;+11:00;Pacific/Guadalcanal;Atoifi
ATE;US;-06:00;America/Chicago;Antlers
ATF;EC;-05:00;America/Guayaquil;Ambato
ATG;PK;+05:00;Asia/Karachi;Attock
ATH;GR;+02:00;Europe/Athens;Athens
ATI;UY;-03:00;America/Montevideo;Artigas
ATJ;MG;+03:00;Indian/Antananarivo;Antsirabe
ATK;US;-09:00;America/Anchorage;Atqasuk
ATL;US;-05:00;America/New_York;Atlanta
ATM;BR;-03:00;America/Araguaina;Altamira
ATN;PG;+10:00;Pacific/Port_Moresby;Namatanai
ATO;US;-05:00;America/New_York;Athens
ATP;PG;+10:00;Pacific/Port_Moresby;Aitape
ATQ;IN;+05:30;Asia/Kolkata;Amritsar
ATR;MR;+00:00;Africa/Nouakchott;Atar
ATS;US;-07:00;America/Denver;Artesia
ATT;US;-09:00;America/Anchorage;Atmautluak
ATU;US;-10:00;America/Adak;Attu Island
ATV;TD;+01:00;Africa/Ndjamena;Ati
ATW;US;-06:00;America/Chicago;Appleton
ATX;KZ;+06:00;Asia/Almaty;Atbasar
ATY;US;-06:00;America/Chicago;Watertown
ATZ;EG;+02:00;Africa/Cairo;Asyut
AUA;AW;-04:00;America/Aruba;Aruba
AUB;BR;-04:00;America/Cuiaba;Itauba
AUC;CO;-05:00;America/Bogota;Arauca
AUD;AU;+10:00;Australia/Brisbane;Augustus Downs
AUE;EG;+02:00;Africa/Cairo;Abu Rudeis
AUF;FR;+01:00;Europe/Paris;Auxerre
AUG;US;-05:00;America/New_York;Augusta
AUH;AE;+04:00;Asia/Dubai;Abu Dhabi
AUI;PG;+10:00;Pacific/Port_Moresby;Aua Island
AUJ;PG;+10:00;Pacific/Port_Moresby;Ambunti
AUK;US;-09:00;America/Anchorage;Alakanuk
AUL;MH;+12:00;Pacific/Majuro;Aur Island
AUM;US;-06:00;America/Chicago;Austin
AUN;US;-08:00;America/Los_Angeles;Auburn
AUO;US;-06:00;America/Chicago;Auburn
AUP;PG;+10:00;Pacific/Port_Moresby;Agaun
AUQ;PF;-09:30;Pacific/Marquesas;Hiva Oa
AUR;FR;+01:00;Europe/Paris;Aurillac
AUS;US;-06:00;America/Chicago;Austin
AUT;TL;+09:00;Asia/Dili;Atauro
AUU;AU;+10:00;Australia/Brisbane;Aurukun
AUV;PG;+10:00;Pacific/Port_Moresby;Aumo
AUW;US;-06:00;America/Chicago;Wausau
AUX;BR;-03:00;America/Araguaina;Araguaina
AUY;VU;+11:00;Pacific/Efate;Aneityum
AUZ;US;-06:00;America/Chicago;Aurora
AVA;CN;+08:00;Asia/Shanghai;Anshun
AVB;IT;+01:00;Europe/Rome;Aviano
AVF;FR;+01:00;Europe/Paris;Avoriaz
AVG;AU;+09:30;Australia/Darwin;Auvergne Station
AVI;CU;-05:00;America/Havana;Ciego De Avila
AVJ;ES;+01:00;Europe/Madrid;Avila
AVK;MN;+08:00;Asia/Ulaanbaatar;Arvaikheer
AVL;US;-05:00;America/New_York;Asheville/Hendersonville
AVN;FR;+01:00;Europe/Paris;Avignon
AVO;US;-05:00;America/New_York;Avon Park
AVP;US;-05:00;America/New_York;Wilkes-Barre/Scranton
AVR;PT;+00:00;Europe/Lisbon;Alverca
AVU;SB;+11:00;Pacific/Guadalcanal;Avu Avu
AVX;US;-08:00;America/Los_Angeles;Avalon
AWA;ET;+03:00;Africa/Addis_Ababa;Awasa
AWB;PG;+10:00;Pacific/Port_Moresby;Awaba
AWD;VU;+11:00;Pacific/Efate;Aniwa
AWE;GA;+01:00;Africa/Libreville;Alowe
AWH;ET;+03:00;Africa/Addis_Ababa;Awareh
AWK;UM;+12:00;Pacific/Wake;Wake Island
AWM;US;-06:00;America/Chicago;West Memphis
AWN;AU;+09:30;Australia/Adelaide;Alton Downs
AWP;AU;+09:30;Australia/Darwin;Austral Downs Station
AWR;PG;+10:00;Pacific/Port_Moresby;Awar
AWZ;IR;+03:30;Asia/Tehran;Ahwaz
AXA;AI;-04:00;America/Anguilla;Anguilla
AXB;US;-05:00;America/New_York;Alexandria Bay
AXC;AU;+10:00;Australia/Brisbane;Aramac
AXD;GR;+02:00;Europe/Athens;Alexandroupolis
AXE;BR;-03:00;America/Araguaina;Xanxere
AXF;CN;+08:00;Asia/Shanghai;Alxa Left Banner
AXG;US;-06:00;America/Chicago;Algona
AXJ;JP;+09:00;Asia/Tokyo;Amakusa
AXK;YE;+03:00;Asia/Aden;Ataq
AXL;AU;+09:30;Australia/Darwin;Alexandria Station
AXM;CO;-05:00;America/Bogota;Armenia
AXN;US;-06:00;America/Chicago;Alexandria
AXP;BS;-05:00;America/Nassau;Spring Point
AXR;PF;-10:00;Pacific/Tahiti;Arutua
AXT;JP;+09:00;Asia/Tokyo;Akita
AXU;ET;+03:00;Africa/Addis_Ababa;Axum
AXV;US;-05:00;America/New_York;Wapakoneta
AXX;US;-07:00;America/Denver;Angel Fire
AYA;CO;-05:00;America/Bogota;Ayapel
AYC;CO;-05:00;America/Bogota;Ayacucho
AYD;AU;+09:30;Australia/Darwin;Alroy Downs
AYE;US;-05:00;America/New_York;Fort Devens
AYG;CO;-05:00;America/Bogota;Yaguara Ii
AYH;GB;+00:00;Europe/London;Alconbury
AYI;CO;-05:00;America/Bogota;Yari
AYK;KZ;+06:00;Asia/Almaty;Arkalyk
AYL;AU;+09:30;Australia/Darwin;Anthony Lagoon
AYN;CN;+08:00;Asia/Shanghai;Anyang
AYO;PY;-04:00;America/Asuncion;Ayolas
AYP;PE;-05:00;America/Lima;Ayacucho
AYQ;AU;+09:30;Australia/Darwin;Ayers Rock
AYR;AU;+10:00;Australia/Brisbane;Ayr
AYS;US;-05:00;America/New_York;Waycross
AYT;TR;+03:00;Europe/Istanbul;Antalya
AYU;PG;+10:00;Pacific/Port_Moresby;Aiyura
AYW;ID;+09:00;Asia/Jayapura;Ayawasi
AYX;PE;-05:00;America/Lima;Atalaya
